wavenumber	counts
524.872	1.8275
525.45	1.8575
526.026	1.8775
526.604	1.77
527.182	1.775
527.757	1.84
528.335	1.7625
528.911	1.72
529.488	1.79
530.064	1.785
530.641	1.7725
531.217	1.8
531.794	1.74
532.37	1.7575
532.945	1.825
533.522	1.7775
534.098	1.6525
534.675	1.835
535.25	1.805
535.827	1.68
536.402	1.785
536.977	1.75
537.555	1.765
538.13	1.71
538.705	1.69
539.282	1.815
539.857	1.7325
540.431	1.7
541.008	1.8
541.583	1.6275
542.158	1.7075
542.735	1.67
543.309	1.715
543.884	1.7525
544.459	1.71
545.035	1.6725
545.61	1.76
546.184	1.715
546.759	1.61
547.335	1.6975
547.91	1.655
548.484	1.79
549.058	1.7025
549.633	1.6225
550.207	1.6725
550.783	1.68
551.357	1.65
551.932	1.61
552.506	1.75
553.08	1.74
553.654	1.56
554.228	1.7375
554.802	1.69
555.376	1.555
555.95	1.59
556.524	1.71
557.099	1.63
557.673	1.55
558.247	1.57
558.821	1.5625
559.394	1.5475
559.968	1.655
560.542	1.675
561.115	1.5725
561.687	1.625
562.26	1.61
562.834	1.6
563.407	1.505
563.981	1.645
564.554	1.555
565.127	1.485
565.701	1.6025
566.274	1.605
566.847	1.615
567.42	1.55
567.991	1.5175
568.564	1.55
569.138	1.58
569.711	1.49
570.284	1.545
570.857	1.5475
571.427	1.63
572	1.4225
572.573	1.515
573.146	1.5575
573.717	1.485
574.29	1.605
574.862	1.61
575.435	1.52
576.006	1.475
576.578	1.5475
577.151	1.4875
577.721	1.435
578.294	1.46
578.866	1.51
579.437	1.4825
580.009	1.52
580.581	1.5925
581.152	1.4225
581.724	1.5875
582.296	1.48
582.866	1.6
583.439	1.585
584.009	1.5
584.581	1.5775
585.151	1.535
585.723	1.5325
586.295	1.425
586.865	1.465
587.437	1.47
588.007	1.4975
588.578	1.61
589.148	1.58
589.72	1.5775
590.29	1.5625
590.861	1.5225
591.431	1.59
592.001	1.535
592.572	1.6025
593.142	1.5725
593.713	1.51
594.283	1.565
594.852	1.605
595.424	1.51
595.993	1.6075
596.564	1.6125
597.134	1.595
597.703	1.5
598.274	1.605
598.843	1.585
599.413	1.5825
599.984	1.6
600.553	1.6
601.122	1.585
601.691	1.6525
602.262	1.6875
602.831	1.6975
603.4	1.6375
603.969	1.6525
604.539	1.82
605.108	1.7
605.677	1.665
606.246	1.6925
606.814	1.6875
607.385	1.7575
607.954	1.71
608.522	1.6575
609.091	1.705
609.659	1.7375
610.228	1.6775
610.796	1.79
611.367	1.715
611.935	1.835
612.503	1.8075
613.072	1.7725
613.64	1.72
614.208	1.8
614.776	1.7725
615.345	1.8825
615.913	1.855
616.481	1.8625
617.049	1.775
617.617	1.87
618.185	1.88
618.753	1.81
619.321	1.8275
619.888	1.8625
620.456	1.825
621.024	1.82
621.592	1.8225
622.16	1.845
622.727	1.915
623.295	1.775
623.861	1.8425
624.428	1.875
624.996	1.84
625.563	1.9425
626.131	1.8425
626.698	1.8875
627.266	1.76
627.831	1.915
628.398	1.8175
628.966	1.875
629.533	1.865
630.1	1.835
630.665	1.87
631.232	1.84
631.8	1.895
632.367	1.8175
632.932	1.845
633.499	1.75
634.066	1.81
634.631	1.8
635.198	1.765
635.764	1.875
636.329	1.8825
636.896	1.7875
637.463	1.795
638.028	1.83
638.594	1.9075
639.161	1.7425
639.726	1.8375
640.292	1.635
640.857	1.75
641.423	1.745
641.99	1.8475
642.554	1.86
643.121	1.76
643.685	1.745
644.251	1.6875
644.816	1.855
645.382	1.7625
645.946	1.8725
646.512	1.815
647.077	1.805
647.643	1.7275
648.207	1.8175
648.773	1.775
649.337	1.715
649.903	1.7825
650.467	1.6925
651.031	1.775
