wavenumber	counts
443.412	80.9
443.775	80.51
444.14	81.345
444.504	80.465
444.868	78.985
445.232	78.67
445.595	78.95
445.959	77.82
446.323	77.4
446.688	77.01
447.05	77.695
447.414	78.06
447.778	77.13
448.141	77.295
448.505	76.955
448.869	78.15
449.232	76.18
449.596	76.305
449.96	76.325
450.322	75.62
450.686	74.555
451.049	74.79
451.413	73.63
451.775	73.78
452.139	74.27
452.503	72.75
452.865	72.55
453.229	72.445
453.591	72.085
453.955	71.095
454.318	70.685
454.681	70.485
455.044	70.825
455.406	69.27
455.77	69.26
456.132	69.99
456.496	68.91
456.858	68.74
457.221	69.51
457.584	69.415
457.946	67.45
458.309	68.53
458.672	67.01
459.034	66.3
459.397	67.69
459.759	66.77
460.121	66.45
460.485	65.365
460.847	65.41
461.209	64.68
461.571	64.315
461.934	63.73
462.296	64.33
462.658	63.77
463.02	63.665
463.384	63.005
463.745	62.29
464.107	62.88
464.469	61.835
464.831	61.49
465.193	62.6
465.556	61.545
465.918	60.875
466.28	60.95
466.641	61.255
467.003	60.375
467.365	59.3
467.727	59.89
468.088	58.27
468.45	59.695
468.812	57.57
469.173	56.735
469.535	56.6
469.897	55.98
470.258	56.41
470.62	56.02
470.981	55.11
471.343	55.065
471.704	55.97
472.066	55.265
472.427	54.96
472.789	54.605
473.15	54.18
473.512	54.32
473.872	53.54
474.233	54.12
474.594	53.75
474.956	53.37
475.317	53.03
475.679	52.34
476.038	52.185
476.4	51.335
476.761	50.65
477.122	50.955
477.484	51.595
477.843	49.54
478.205	50.33
478.566	49.995
478.927	48.58
479.287	49.53
479.648	48.7
480.009	48.65
480.369	48.26
480.73	47.84
481.091	48.025
481.45	47.11
481.811	48
482.171	47.695
482.532	47.995
482.893	46.88
483.253	47.12
483.614	46.77
483.973	45.78
484.334	45.54
484.693	44.435
485.054	45.385
485.414	44.25
485.775	43.67
486.134	42.075
486.495	40.12
486.854	39.075
487.215	35.835
487.574	34.285
487.935	32.825
488.294	30.375
488.654	28.285
489.014	26.41
