wavenumber,wavenumber_adjusted,one,two,three,four,five,six,seven,eight,nine,ten,eleven,twelve,thirteen,fourteen,fifteen,sixteen,seventeen,eighteen,nineteen,twenty
598.843,600.722145840736,2.94267,2.00267,1.96133,1.83467,1.84933,1.74133,1.76933,1.76267,1.74667,1.784,1.86533,3.124,4.764,12.2733,11.2507,10.852,10.8293,9.99733,10.5187,10.9707
599.413,601.292145840736,3.01067,2.028,1.94133,1.87067,1.80133,1.808,1.77067,1.804,1.73867,1.72667,1.792,3.06933,4.72667,12.3253,11.4747,10.7813,10.7507,10.212,10.5053,11.1507
599.984,601.863145840736,3.03333,1.95333,1.948,1.87467,1.79333,1.80933,1.80667,1.79467,1.74933,1.688,1.93867,2.996,4.85333,12.3973,11.4573,10.744,10.8707,10.26,10.648,11.008
600.553,602.432145840736,3.14133,2.10933,1.992,1.85333,1.808,1.73733,1.76667,1.728,1.79333,1.82,1.83867,3.04267,4.77733,12.6053,11.7147,10.976,10.8293,10.152,10.62,11.0507
601.122,603.001145840736,3.03067,2.01733,2.04,1.90267,1.90667,1.82267,1.852,1.74267,1.83067,1.86667,1.86133,3.03067,4.64267,12.72,11.8013,11.068,11.216,10.568,10.856,11.116
601.691,603.570145840736,3.144,2.07867,1.96533,1.95867,1.87067,1.856,1.81333,1.84,1.80933,1.796,1.88533,3.11733,4.788,12.9147,11.896,11.1,11.152,10.4067,10.9307,11.3533
602.262,604.141145840736,3.08933,2.096,2.01733,1.98133,1.856,1.82533,1.82133,1.78933,1.8,1.82267,1.92533,3.13733,4.73467,12.788,12.1027,11.2653,11.288,10.5387,11.1093,11.2173
602.831,604.710145840736,3.16,2.03867,1.99333,1.94,1.87467,1.856,1.85333,1.80533,1.74933,1.73867,1.956,3.11333,4.896,12.8573,12.2253,11.4453,11.332,10.6653,10.9573,11.6187
603.4,605.279145840736,3.236,2.11467,1.936,1.89467,1.91733,1.808,1.74933,1.836,1.848,1.808,1.89467,3.21067,4.88267,12.9533,12.3133,11.3267,11.4213,10.7307,10.992,11.78
603.969,605.848145840736,3.23067,2.116,2.09067,1.89067,1.90533,1.81067,1.81467,1.84667,1.80267,1.85067,1.892,3.22267,4.85333,13.0853,12.1907,11.484,11.4387,10.812,11.4187,11.7373
604.539,606.418145840736,3.192,2.07333,2.09467,1.90267,1.916,1.876,1.90933,1.87067,1.88,1.83733,1.88667,3.156,4.93333,13.068,12.408,11.684,11.4627,11.0707,11.228,11.7933
605.108,606.987145840736,3.212,2.17067,2.08,1.92267,1.92667,1.88267,1.93333,1.896,1.792,1.84267,1.94667,3.13467,4.68133,13.2013,12.6587,11.7027,11.5347,10.9787,11.3173,11.86
605.677,607.556145840736,3.16933,2.076,2.11067,2.004,1.89067,1.83867,1.86,1.85733,1.81067,1.84533,1.94,3.29733,4.72667,13.2893,12.7973,11.712,11.612,11.072,11.3493,11.976
606.246,608.125145840736,3.20267,2.172,2.12667,1.992,1.884,1.83467,1.90133,1.956,1.84667,1.93333,1.99067,3.284,4.97733,13.2933,12.4907,11.9147,11.688,11.3293,11.4253,12.1933
