x sto yy 4 5,y sto yy 4 5,x sto xx 4 5,y sto xx 4 5,x sto xx 8 2,y sto xx 8 2,x sto BULK,y sto BULK,x sto xy 8 2,y sto xy 8 2,x sto yx 8 2,y sto yx 8 2
525.022145840736,1.021699728450105,532.520145840736,0.2334122667458029,525.022145840736,0.7366084827557102,316.568,85.89247636859318,525.022145840736,0.2949541048463453,525.022145840736,0.3080989406277199
525.598145840736,0.8942622504931141,533.096145840736,0.2261471139750501,525.598145840736,0.6625339024382695,316.943,85.67110554659459,525.598145840736,0.2071290697050067,525.598145840736,0.23732784597888923
526.176145840736,0.7973522631484329,533.673145840736,0.2198812378284549,526.176145840736,0.6075525186382562,317.319,85.44492927601686,526.176145840736,0.1529297995198506,526.176145840736,0.18121020313700953
526.751145840736,0.7258447213461592,534.249145840736,0.2144538945608168,526.751145840736,0.5673249960746438,317.694,85.21584224247306,526.751145840736,0.1170810998289053,526.751145840736,0.13854833488517393
527.329145840736,0.6723803291751672,534.824145840736,0.2097180465874899,527.329145840736,0.5372304227391418,318.07,84.98331772812597,527.329145840736,0.0915156445764801,527.329145840736,0.10601217161585463
527.905145840736,0.6322263211832535,535.401145840736,0.2055370950059049,527.905145840736,0.5144874079298214,318.446,84.7486567770548,527.905145840736,0.0726720575133088,527.905145840736,0.08128681237380686
528.483145840736,0.6013106628432703,535.977145840736,0.2018433754460037,528.483145840736,0.4967983905879733,318.821,84.51317812936747,528.483145840736,0.0582710124870399,528.483145840736,0.0621541724220851
529.061145840736,0.5771408286929456,536.554145840736,0.1985505007824893,529.061145840736,0.4827840633784381,319.197,84.27630604567949,529.061145840736,0.0470632120534756,529.061145840736,0.04720944873921251
529.636145840736,0.5579669963958356,537.129145840736,0.1956150206781954,529.636145840736,0.4714872853274698,319.571,84.04059763290005,529.636145840736,0.0382248753280818,529.636145840736,0.03542877510829889
530.214145840736,0.5423081440534523,537.706145840736,0.1929675391101261,530.214145840736,0.4620889289109677,319.947,83.80418742542926,530.214145840736,0.0310768425791854,530.214145840736,0.025919020975622153
530.790145840736,0.5294053358402159,538.281145840736,0.1905861703083506,530.790145840736,0.4541808217648611,320.322,83.56960295125248,530.790145840736,0.025274539429137,530.790145840736,0.01821478488904038
